CountryName,Year,GDP: Gross domestic product,GDP growth rate,GDP per capita,Economy: Agriculture,Economy: Industry,Economy: Services and other activity,Unemployment,Labour force participation rate,"Balance of payments, current account",CPI: Consumer Price Index
Cameroon,2021,38 861b,3.9b,1 501.8b,15.9b,28.1b,56b,3.4d,70.9 / 81.0d,- 1 695b,122d
Canada,2010,1 617 267,3.1,47 361.1,1.6,27.9,70.5,8.1,61.9 / 71.5,- 58 163,100
Canada,2015,1 556 129,0.7,43 193.8,2,25.8,72.1,6.9,60.8 / 70.5,- 54 696,109
Canada,2021,1 741 497b,1.9b,46 550.3b,2b,25.6b,72.5b,5.4d,60.7 / 69.2d,- 29 722d,118d
Cayman Islands,2010,4 277,-2.7,75 460.8,0.3,7.4,92.2,6.7,"80.6 / 88.0i,k,l",NA,100
Cayman Islands,2015,4 785,2.8,77 517.7,0.4,7.4,92.2,6.3j,80.6 / 85.6j,NA,104
Cayman Islands,2021,6 020b,3.2b,92 692.4b,0.4b,7.7b,91.9b,NA,... / ...,-582b,115b
Central African Republic,2010,2 141,4.6,487.9,39.8,26.1,34.1,3.9,65.0 / 80.4,NA,100
Central African Republic,2015,1 695,4.3,377.1,32.5,22.8,44.6,3.9,64.7 / 81.2,NA,133
Central African Republic,2021,2 220b,3b,467.9b,33.4b,21.9b,44.8b,3.7d,64.4 / 79.8d,NA,155d
Chad,2010,10 971,15,917.9,35.9,36.7,27.4,1.6,63.8 / 79.3,NA,"100e,f"
Chad,2015,11 690,4.6,828.5,29.5,31.7,38.8,1.8,63.8 / 78.2,NA,"117e,f"
Chad,2021,11 272b,3b,706.8b,28.5b,18.7b,52.8b,1.9d,63.9 / 77.5d,NA,"123g,d"
Channel Islands,2010,NA,NA,NA,NA,NA,NA,8.4,50.8 / 67.8,NA,NA
Channel Islands,2015,NA,NA,NA,NA,NA,NA,8.1,51.0 / 67.1,NA,NA
Channel Islands,2021,NA,NA,NA,NA,NA,NA,7.5g,50.6 / 65.6g,NA,NA
Chile,2010,218 538,5.8,12 808.1,3.9,38.8,57.3,8.4,46.9 / 74.6,3 069,100
Chile,2015,243 919,2.3,13 574.2,4,32.6,63.4,6.5,50.1 / 74.7,- 5 735,118
Chile,2021,282 318b,1.1b,14 896.5b,3.9b,32b,64.1b,7.1d,52.0 / 74.1d,3 370d,136d
China,2010,6 087 192,10.4,4 447.1,9.6,46.7,43.7,4.5,64.0 / 78.3,237 810,100
China,2015,11 061 573,7,7 862.7,8.7,41,50.3,4.6,62.5 / 76.9,293 022,115
China,2021,14 342 934c,6.1c,10 003.6c,7.4c,39.2c,53.4c,4.4e,59.8 / 74.8e,273 980e,"112j,e"
"China, Hong Kong SAR",2010,228 639,6.8,32 820.5,0.1,7,93,4.3,51.4 / 68.1,16 012,100
"China, Hong Kong SAR",2015,309 386,2.4,43 054.0,0.1,7.3,92.7,3.3,54.3 / 68.5,10 264,123
"China, Hong Kong SAR",2021,365 711b,-1.2b,49 180.1b,0.1b,6.6b,93.4b,4.3d,53.7 / 67.0d,22 666d,135d
"China, Macao SAR",2010,28 124,25.3,52 253.0,NA,7.4,92.6,2.8,65.3 / 76.9,10 992,100
"China, Macao SAR",2015,45 362,-21.6,75 341.4,NA,10.5,89.5,1.8,66.6 / 77.2,10 513,131f
"China, Macao SAR",2021,53 859c,-4.7c,84 096.7c,NA,7.3c,92.7c,2.5d,64.6 / 76.2d,18 556c,"145f,d"
Colombia,2010,286 563,4.5,6 336.7,6.9,34.4,58.6,11,55.7 / 81.6,- 8 822,100
Colombia,2015,293 482,3,6 175.9,6.6,31.5,61.9,8.3,58.5 / 82.0,- 19 302,118
Colombia,2021,323 803b,3.3b,6 432.4b,7.4b,29b,63.5b,9.7d,57.5 / 81.0d,- 9 326d,145d
Comoros,2010,907,4.8,1 315.2,31.6,12.2,56.1,4.6,34.5 / 49.7,-39,100
Comoros,2015,966,2,1 242.1,31.7,10.8,57.5,4.5,35.7 / 49.8,-2,104f
Comoros,2021,1 166b,3.2b,1 370.1b,34.5b,9.2b,56.2b,4.4d,36.8 / 50.0d,-37b,NA
Congo,2010,13 678,9.9,3 200.5,4.2,68,27.8,14,67.7 / 71.5,900,100
Congo,2015,11 751,-3.2,2 419.8,6.3,50,43.7,9.9,67.7 / 71.9,- 4 629,116
Congo,2021,12 397b,-0.9b,2 304.1b,7.5b,45.1b,47.5b,9.3d,67.4 / 71.2d,- 3 594g,127d
Cook Islands,2010,241,-4.9,13 092.7,3.4,7.9,88.7,"6.9m,n","64.2 / 76.1k,m,n",NA,100
Cook Islands,2015,302,5.7,17 182.6,3.2,11.3,85.4,8.2l,"65.4 / 76.6k,l",NA,109
Cook Islands,2021,379c,4.8c,21 603.5c,2.7c,8.9c,88.4c,NA,... / ...,NA,110f
Costa Rica,2010,37 269,5,8 141.9,7.2,25.4,67.4,7.2,45.3 / 76.5,- 1 214,100
Costa Rica,2015,54 776,3.6,11 299.1,5.4,21.2,73.4,9,48.4 / 75.6,- 1 921,122
Costa Rica,2021,61 774b,2.1b,12 238.4b,4.6b,20b,75.4b,12.7d,48.2 / 75.9d,- 1 289b,130d
Croatia,2010,59 808,-1.5,13 818.3,4.4,26.1,69.5,11.6,46.2 / 59.8,- 1 485,100
Croatia,2015,49 531,2.4,11 701.4,3.6,25.8,70.6,16.2,46.6 / 59.2,1 595,107
Croatia,2021,60 415b,2.9b,14 627.3b,3.4b,24.6b,72b,7.1d,45.3 / 57.2d,-532d,110d
Cuba,2010,64 328,2.4,5 730.4,3.7,23.1,73.2,2.5,42.0 / 68.4,NA,NA
Cuba,2015,87 206,4.4,7 700.4,3.9,22.6,73.5,2.4,41.6 / 67.1,NA,NA
Cuba,2021,105 355b,2b,9 295.9b,3.9b,24.3b,71.8b,1.6e,40.5 / 66.7e,NA,NA
Curaçao,2010,2 951,0.1,19 782.2,0.5,16.2,83.3,"9.6j,l",53.2 / 66.5i,NA,100
Curaçao,2015,3 152,0.3,19 718.3,0.5,20.2,79.3,13m,... / ...,-519,108
Curaçao,2021,3 102b,-3.4b,18 980.0b,0.4b,19.6b,80b,NA,... / ...,-539b,118f
Cyprus,2010,25 707,2,30 993.1,2.3,16.4,81.2,6.3,57.6 / 70.6,- 2 799,100
Cyprus,2015,19 771,3.4,23 323.4,2.1,11.6,86.3,14.9,57.9 / 67.4,-84,102
Cyprus,2021,24 565c,3.2c,28 284.9c,2.3c,15c,82.7c,7.2e,57.8 / 68.0e,- 2 850e,102e
Czechia,2010,209 070,2.4,19 842.4,1.7,36.7,61.6,7.3,49.2 / 68.0,- 7 351,100
Czechia,2015,188 033,5.4,17 736.6,2.5,37.5,60,5,51.4 / 68.2,845,108
Czechia,2021,250 681b,2.3b,23 451.7b,2.1b,34.8b,63b,1.9c,52.8 / 68.2c,8 845c,120c
Côte d’Ivoire,2010,26 264,7.7,1 279.1,25.2,22.6,52.2,6.7,47.8 / 72.1,465,100
Côte d’Ivoire,2015,45 780,14.9,1 971.1,19.8,21.1,59.1,3.1,47.8 / 67.2,-201,111
Côte d’Ivoire,2021,58 540b,6.2b,2 276.3b,22.1b,22.7b,55.2b,3.4f,48.3 / 65.4f,- 1 349b,114f
Democratic People's Republic of Korea,2010,13 945,-0.5,571,20.8,48.2,31,2.9,74.2 / 88.0,NA,NA
Democratic People's Republic of Korea,2015,16 283,-1.1,649.9,21.6,46.2,32.2,2.9,73.7 / 87.7,NA,NA
Democratic People's Republic of Korea,2021,16 331b,0.4b,639.6b,21.2b,44.7b,34.1b,2.8d,73.3 / 87.7d,NA,NA
Democratic Republic of the Congo,2010,21 566,7.1,334,22.4,40.5,37,4,63.9 / 68.7,- 2 174,100
Democratic Republic of the Congo,2015,37 918,6.9,497.3,19.7,44.8,35.5,4.4,61.0 / 66.8,- 1 484,130
Democratic Republic of the Congo,2021,47 320b,4.4b,545.2b,20.8b,42.4b,36.8b,4.2c,60.4 / 66.0c,- 1 095c,134f
Denmark,2010,321 995,1.9,57 966.6,1.4,22.8,75.8,7.5,59.8 / 69.1,21 051,100
Denmark,2015,302 673,2.3,53 206.1,1.1,23,75.9,6.2,57.7 / 66.4,24 953,107
Denmark,2021,350 104d,2.8d,60 656.9d,1.5d,24.2d,74.3d,4.8f,58.2 / 66.2f,26 023f,111f
Djibouti,2010,1 244,11.7,1 480.2,2.8,16.1,81.1,10.7,49.6 / 71.0,50,100
Djibouti,2015,2 445,7.7,2 675.6,1.3,12.1,86.6,10.6,50.4 / 69.5,714,112
Djibouti,2021,3 166b,7.7b,3 252.3b,1.4b,11.8b,86.9b,10.3d,50.8 / 68.8d,448b,122d
